,city,cloudiness,country,date,humidity,lat,lng,max_temp,max_speed
385,keningau,75,MY,1570852497,63,5.33,116.16,91.4,6.93
386,abalak,98,NE,1570852499,42,15.46,6.28,85.24,7.57
387,murdochville,74,CA,1570852500,78,48.96,-65.49,41.86,4.18
388,lasa,0,CY,1570852502,40,34.92,32.53,69.8,9.17
389,meulaboh,100,ID,1570852504,78,4.14,96.13,79.84,3.91
390,namibe,100,AO,1570852505,85,-15.19,12.15,68.32,11.42
391,yamada,75,JP,1570852506,94,36.58,137.08,70.0,28.86
392,touros,40,BR,1570852508,88,-5.2,-35.46,73.4,4.7
393,kassala,7,SD,1570852509,51,15.45,36.38,80.74,2.33
394,veydelevka,4,RU,1570852510,94,50.15,38.45,43.3,6.63
395,bronnoysund,100,NO,1570852512,75,65.46,12.2,41.0,9.17
396,longyearbyen,40,NO,1570852513,85,78.22,15.63,21.2,2.24
397,bilibino,100,RU,1570852514,75,68.06,166.44,18.1,2.66
398,ekhabi,97,RU,1570852516,59,53.51,142.97,37.36,24.04
399,saldanha,73,PT,1570852517,60,41.42,-6.55,60.94,4.73
400,norman wells,75,CA,1570852519,88,65.28,-126.83,32.0,2.24
401,yeppoon,0,AU,1570852521,39,-23.13,150.74,78.8,5.82
402,port moresby,40,PG,1570852522,66,-9.47,147.16,87.8,5.82
403,mogadishu,44,SO,1570852525,84,2.04,45.34,79.84,9.73
404,palmer,3,AU,1570852526,32,-34.85,139.16,72.0,12.75
405,coihaique,0,CL,1570852527,56,-45.58,-72.07,42.8,4.7
406,tarakan,100,ID,1570852529,70,3.3,117.63,85.6,0.6
407,tallahassee,1,US,1570852531,88,30.44,-84.28,66.99,3.98
408,kamaishi,75,JP,1570852532,88,39.28,141.86,62.6,19.46
409,poum,75,MK,1570852534,93,41.28,20.71,48.2,3.36
410,mayskiy,100,RU,1570852535,74,43.63,44.06,57.7,1.99
411,malanje,99,AO,1570852536,89,-9.54,16.35,63.1,3.17
412,dese,0,IT,1570852538,93,45.53,12.3,55.0,4.7
413,maputo,40,MZ,1570852539,88,-25.97,32.57,62.6,2.24
414,adrar,78,DZ,1570852540,36,27.87,-0.29,76.24,10.03
415,matagami,100,NG,1570852542,97,9.67,8.4,68.5,1.26
416,kem,100,UG,1570852543,74,2.68,33.77,69.04,5.4
417,smolensk,100,RU,1570852544,88,54.79,32.05,47.08,12.44
418,tahe,0,CN,1570852546,29,52.34,124.71,27.64,8.38
419,ahipara,9,NZ,1570852548,88,-35.17,173.16,69.01,14.41
420,filingue,86,NE,1570852549,52,14.35,3.32,84.16,4.51
421,kharp,100,RU,1570852551,99,66.82,65.8,26.56,8.48
422,savannah bight,100,HN,1570852553,72,16.45,-85.85,84.7,12.34
423,sao miguel do araguaia,91,BR,1570852555,60,-13.28,-50.16,80.74,5.94
424,juneau,90,US,1570852556,93,58.3,-134.42,46.0,3.36
425,comarapa,0,BO,1570852557,84,-17.91,-64.53,59.5,3.94
426,zavet,0,BG,1570852559,100,42.84,27.06,55.99,3.55
427,baruun-urt,3,MN,1570852560,20,46.68,113.28,31.06,6.99
428,jijiang,40,CN,1570852561,83,29.8,120.61,69.8,6.71
429,port hardy,90,CA,1570852563,100,50.7,-127.42,46.4,2.24
430,coahuayana,100,MX,1570852564,88,18.62,-100.35,75.16,1.79
431,amga,100,RU,1570852565,87,60.89,131.98,17.92,10.05
432,scarborough,100,GB,1570852567,87,54.28,-0.41,51.01,5.82
433,kandrian,99,PG,1570852568,69,-6.21,149.55,84.16,8.55
434,hinton,95,CA,1570852569,90,53.4,-117.57,29.8,5.68
435,kargasok,73,RU,1570852570,64,59.06,80.87,32.5,9.53
436,fort myers beach,1,US,1570852572,88,26.45,-81.95,78.8,8.05
437,mount gambier,1,AU,1570852573,55,-37.83,140.78,66.2,8.05
438,fortuna,75,US,1570852574,100,40.6,-124.16,50.0,2.51
439,suhbaatar,0,MN,1570852576,39,50.23,106.21,28.9,0.66
440,comodoro rivadavia,97,AR,1570852577,35,-45.87,-67.48,57.2,8.05
441,broken hill,0,AU,1570852580,15,-31.97,141.45,75.2,8.05
442,bayanday,56,RU,1570852581,44,53.07,105.52,24.4,5.15
443,hirara,75,JP,1570852583,69,24.8,125.28,80.6,12.75
444,shwebo,16,MM,1570852585,78,22.57,95.7,80.92,5.01
445,port lincoln,67,AU,1570852586,54,-34.72,135.86,64.18,10.94
446,helong,4,CN,1570852587,58,25.94,116.13,82.72,7.64
447,marovoay,20,MG,1570852589,61,-16.11,46.64,77.0,10.29
448,north bend,1,US,1570852590,53,43.41,-124.22,54.0,4.7
449,melioratorov,95,RU,1570852591,79,57.21,65.61,43.0,8.33
450,emerald,0,AU,1570852593,9,-23.53,148.16,86.0,11.41
451,hauterive,1,CA,1570852594,93,49.18,-68.27,44.6,10.29
452,tura,0,RU,1570852595,63,64.27,100.22,20.62,3.0
453,cabo san lucas,75,MX,1570852597,78,22.89,-109.91,82.99,3.36
454,gweru,100,ZW,1570852598,92,-19.46,29.82,55.72,6.45
455,nampa,0,US,1570852599,44,43.57,-116.56,42.8,3.36
456,skjervoy,0,NO,1570852601,66,70.03,20.97,37.18,11.12
457,karratha,0,AU,1570852602,49,-20.74,116.85,82.72,9.74
458,plettenberg bay,100,ZA,1570852603,56,-34.05,23.37,56.8,5.99
459,makakilo city,75,US,1570852607,78,21.35,-158.09,84.2,14.99
460,grand baie,40,MU,1570852610,88,-20.02,57.58,75.0,12.75
461,bulnes,100,CL,1570852611,76,-36.74,-72.3,55.4,4.7
462,miquelon,100,PM,1570852612,78,47.1,-56.38,49.6,10.25
463,phalaborwa,45,ZA,1570852614,85,-23.95,31.14,61.3,2.99
464,ugoofaaru,92,MV,1570852616,73,5.67,73.0,82.0,2.6
465,orlik,90,PL,1570852617,76,53.95,17.74,57.2,16.11
466,aksarka,100,RU,1570852619,86,66.56,67.8,31.6,11.29
467,saint-leu,8,RE,1570852620,50,-21.15,55.28,77.0,3.36
468,maldonado,90,UY,1570852621,93,-34.91,-54.96,62.6,6.93
469,pontes e lacerda,37,BR,1570852623,83,-15.23,-59.33,70.84,2.67
470,saint-pierre,0,FR,1570852624,87,48.95,4.24,57.2,11.41
471,gimli,100,CA,1570852625,99,50.63,-96.99,35.01,3.0
472,salvador,75,BR,1570852627,78,-12.98,-38.48,78.8,10.29
473,stephenville crossing,75,CA,1570852628,93,48.5,-58.44,42.8,5.82
474,antsohihy,0,MG,1570852629,65,-14.88,47.99,73.72,6.74
475,itaituba,0,BR,1570852631,86,-4.26,-55.99,74.44,2.25
476,las vegas,75,US,1570852632,10,36.17,-115.15,62.6,3.79
477,tiarei,20,PF,1570852633,57,-17.53,-149.33,78.8,4.7
478,bom jesus,0,BR,1570852634,49,-9.08,-44.36,75.7,3.98
479,toamasina,40,MG,1570852636,94,-18.17,49.38,69.8,2.24
480,khani,75,GE,1570852637,93,41.96,42.96,60.8,9.17
481,shubarshi,97,KZ,1570852639,59,48.59,57.19,47.08,12.26
482,colon,40,PH,1570852640,70,10.22,123.75,87.8,2.24
483,san carlos de bariloche,75,AR,1570852641,66,-41.13,-71.31,48.2,17.22
484,alice springs,0,AU,1570852644,7,-23.7,133.88,98.6,17.22
485,henties bay,0,NA,1570852645,87,-22.12,14.28,63.0,5.99
486,iquique,0,CL,1570852646,67,-20.22,-70.14,62.6,3.36
487,lashio,7,MM,1570852648,63,22.93,97.75,78.4,1.75
488,miles city,1,US,1570852649,86,46.41,-105.84,28.0,6.93
489,halifax,90,CA,1570852650,100,44.65,-63.58,51.01,12.75
490,beaune,0,FR,1570852652,82,47.02,4.84,61.0,10.29
491,catia la mar,75,VE,1570852653,94,10.6,-67.03,75.2,4.7
492,cockburn town,0,TC,1570852654,72,21.46,-71.14,81.46,7.51
493,maanshan,90,CN,1570852656,68,31.7,118.5,75.99,6.71
494,denpasar,20,ID,1570852657,70,-8.65,115.22,86.0,11.41
495,olinda,40,AU,1570852658,48,-37.84,145.39,68.0,11.41
496,hasaki,75,JP,1570852660,94,35.73,140.83,78.8,25.28
497,rio cuarto,20,AR,1570852661,83,-33.13,-64.35,69.8,9.17
498,nieuw amsterdam,59,SR,1570852662,94,5.88,-55.08,79.0,3.36
499,warrnambool,0,AU,1570852663,68,-38.38,142.48,63.0,16.71
500,muzhi,100,RU,1570852665,96,65.4,64.7,32.5,7.28
501,chahal,100,GT,1570852666,98,15.75,-89.57,70.66,1.68
502,bouake,100,CI,1570852667,98,7.69,-5.02,71.92,8.11
503,gashua,66,NG,1570852669,54,12.87,11.04,80.38,4.75
504,buraydah,0,SA,1570852671,60,26.33,43.97,71.6,3.5
505,kudahuvadhoo,100,MV,1570852673,68,2.67,72.89,83.08,4.33
506,sivas,40,TR,1570852674,87,39.75,37.01,46.4,10.29
507,inuvik,90,CA,1570852675,96,68.36,-133.71,32.0,14.99
508,belomorsk,100,RU,1570852677,96,64.52,34.76,42.76,9.0
509,antofagasta,75,CL,1570852678,82,-23.65,-70.4,59.0,9.17
510,taltal,48,CL,1570852679,93,-25.41,-70.49,50.5,0.23
511,yatou,75,CM,1570852680,100,3.63,9.81,75.2,2.24
512,shepsi,0,RU,1570852682,70,44.04,39.15,60.94,19.46
513,beringovskiy,79,RU,1570852683,68,63.05,179.32,35.92,11.19
514,matara,92,BI,1570852685,89,-3.48,29.48,58.96,11.44
515,tautira,20,PF,1570852688,57,-17.73,-149.15,78.8,4.7
516,mandurah,40,AU,1570852690,45,-32.55,115.7,66.2,12.75
517,hualmay,1,PE,1570852691,86,-11.1,-77.61,55.72,2.4
518,kokopo,100,PG,1570852692,79,-4.34,152.27,82.36,17.46
519,barcelona,40,ES,1570852694,88,41.38,2.18,69.01,0.6
520,kabin buri,0,TH,1570852695,63,13.95,101.72,84.0,2.38
521,nha trang,20,VN,1570852696,62,12.24,109.19,89.6,9.17
522,rojhan,0,PK,1570852698,21,28.69,69.95,87.76,2.97
523,vila,0,IT,1570852701,100,45.18,8.4,53.01,5.82
524,talaya,100,RU,1570852703,56,55.79,84.89,33.01,1.99
525,panzhihua,75,CN,1570852704,80,26.59,101.72,69.58,0.89
526,gazi,20,GR,1570852705,93,35.33,25.07,69.01,6.75
527,tigre,90,AR,1570852707,82,-34.42,-58.58,68.0,10.29
528,carballo,75,ES,1570852708,87,43.21,-8.69,62.01,6.93
529,vrangel,0,RU,1570852709,47,42.73,133.08,51.58,4.54
530,san policarpo,99,PH,1570852711,62,12.18,125.51,85.78,8.16
531,superior,20,US,1570852712,35,39.95,-105.17,41.0,9.17
532,eyl,26,SO,1570852713,83,7.98,49.82,79.84,2.72
533,healesville,40,AU,1570852714,48,-37.65,145.52,72.0,11.41
534,neuquen,100,AR,1570852717,22,-38.95,-68.06,69.8,6.93
535,yumen,0,CN,1570852718,30,40.29,97.04,59.86,1.37
536,srandakan,100,ID,1570852720,53,-7.94,110.25,85.78,10.37
537,evans,1,US,1570852721,69,40.38,-104.69,41.0,6.93
